tema,termo_0,termo_1,termo_2,termo_3,termo_4,termo_5,termo_6,termo_7,termo_8,termo_9
0,document,empr,animal,denúnc,mor,filh,investig,jan,dinh,min
1,políci,crim,polic,milit,arm,seguranç públic,guard,políci feder,penal,justiç
2,cult,educ,municípi,plan,livr,orç,municip,estad,plan nacion,emend
3,previd,reform,bilhã,tribut,fiscal,receit,rend,crédit,impost,dinh
4,produt,agricult,produç,rural,aliment,agricul,produz,leit,famili,sul
5,paut,it,matér,parec,projet lei,retir,emend,constitucional,mérit,propos
6,esport,atlet,tur,jog,cop,futebol,olímp,club,estádi,confeder
7,consum,empr,comunic,internet,oper,agênc,regul,red,merc,preç
8,amazôn,pesc,mar,forç,fronteir,arm,ama,forç arm,milit,nort
9,human,direit human,lut,mov,negr,viol,mulh,companh,civil,comunidad
10,transport,obr,aeroport,contrat,veícul,empr,invest,avi,infraestrut,oper
11,empr,empreg,entidad,administr,contrat,profiss,sindicat,companh,regulament,fiscal
12,ambient,ambi,florest,conserv,áre,sustent,amazôn,unidad,ibam,desmat
13,energ,empr,elétr,miner,consum,distribu,min,gás,usin,invest
14,defici,medic,produt,pesso defici,anvis,pesquis,drog,aliment,agrotóx,control
15,tribun,justiç,supr,julg,repúbl,defend,democrac,advog,parl,judici
16,empr,indústr,merc,tecnolog,invest,internac,cresc,econom,produt,unid
17,mulh,crianç,viol,adolesc,famíl,filh,crianç adolesc,sex,menin,hom
18,educ,escol,univers,profes,ensin,alun,curs,profiss,prof,superi
19,médic,paci,hospit,doenç,profiss,su,idos,assist,diagnóst,medicin
20,indígen,terr,comunidad,pov,índi,incr,fun,assent,quilombol,pov indígen
21,municípi,águ,prefeit,urban,municip,nord,habit,resídu,sane,plan
