id_evento,comissao,ano,data,categoria_evento
0094/09,Comissão de Segurança Pública e Combate ao Crime Organizado,2009,11/03/2009,Reunião Ordinária
0092A/09,"Comissão de Integração Nacional, Desenvolvimento Regional e Amazônia",2009,11/03/2009,Audiência Pública com Convidado
0114/09,Comissão de Finanças e Tributação,2009,17/03/2009,Audiência Pública com Convidado
0130/09,Comissão de Finanças e Tributação,2009,24/03/2009,Audiência Pública com Convidado
0143/09,Comissão de Fiscalização Financeira e Controle,2009,24/03/2009,Audiência Pública com Convidado
0142/09,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",2009,24/03/2009,Audiência Pública com Ministro
0138/09,"Comissão de Integração Nacional, Desenvolvimento Regional e Amazônia",2009,24/03/2009,Reunião Ordinária
0174/09,Comissão de Cultura,2009,25/03/2009,Reunião Extraordinária
0178/09,Comissão de Direitos Humanos e Minorias,2009,25/03/2009,Seminário
0162/09,"Comissão de Desenvolvimento Econômico, Indústria, Comércio e Serviços",2009,25/03/2009,Audiência Pública com Convidado
0160/09,"Comissão de Trabalho, Administração e Serviço Público",2009,25/03/2009,Audiência Pública com Convidado
0194/09,Comissão de Meio Ambiente e Desenvolvimento Sustentável,2009,26/03/2009,Audiência Pública com Convidado
0192/09,Comissão de Finanças e Tributação,2009,26/03/2009,Audiência Pública com Convidado
0188/09,Comissão de Direitos Humanos e Minorias,2009,26/03/2009,Audiência Pública com Convidado
0191/09,"Comissão de Desenvolvimento Econômico, Indústria, Comércio e Serviços",2009,26/03/2009,Audiência Pública com Convidado
0193/09,"Comissão de Ciência e Tecnologia, Comunicação e Informática",2009,26/03/2009,Audiência Pública com Convidado
0189/09,Comissão de Legislação Participativa,2009,26/03/2009,Audiência Pública com Convidado
0221/09,Comissão de Seguridade Social e Família,2009,31/03/2009,Audiência Pública com Convidado
0220/09,Comissão de Finanças e Tributação,2009,31/03/2009,Audiência Pública com Convidado
0223/09,"Comissão de Integração Nacional, Desenvolvimento Regional e Amazônia",2009,31/03/2009,Audiência Pública com Convidado
0208/09,Comissão de Seguridade Social e Família,2009,31/03/2009,Audiência Pública com Convidado
0211/09,Comissão de Seguridade Social e Família,2009,31/03/2009,Audiência Pública com Convidado
0241/09,"Comissão de Ciência e Tecnologia, Comunicação e Informática",2009,01/04/2009,Audiência Pública com Ministro
0267/09,Comissão de Meio Ambiente e Desenvolvimento Sustentável,2009,02/04/2009,Audiência Pública com Convidado
0270/09,Comissão de Direitos Humanos e Minorias,2009,02/04/2009,Audiência Pública com Ministro
0268/09,Comissão de Finanças e Tributação,2009,02/04/2009,Audiência Pública com Convidado
0265/09,Comissão de Turismo,2009,02/04/2009,Audiência Pública com Convidado
0269/09,Comissão de Cultura,2009,02/04/2009,Audiência Pública com Convidado
0286/09,Comissão de Finanças e Tributação,2009,07/04/2009,Audiência Pública com Ministro
0275/09,Comissão de Turismo,2009,07/04/2009,Fórum
0303/09,"Comissão de Trabalho, Administração e Serviço Público",2009,08/04/2009,Reunião Ordinária
0322/09,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",2009,14/04/2009,Audiência Pública com Convidado
0321/09,Comissão de Fiscalização Financeira e Controle,2009,14/04/2009,Audiência Pública com Convidado
0319/09,Comissão de Seguridade Social e Família,2009,14/04/2009,Audiência Pública com Ministro
0317/09,"Comissão de Ciência e Tecnologia, Comunicação e Informática",2009,14/04/2009,Audiência Pública com Convidado
0318/09,"Comissão de Integração Nacional, Desenvolvimento Regional e Amazônia",2009,14/04/2009,Audiência Pública com Convidado
0307/09,"Comissão de Integração Nacional, Desenvolvimento Regional e Amazônia",2009,14/04/2009,Audiência Pública com Convidado
0365/09,Comissão de Defesa do Consumidor,2009,15/04/2009,Audiência Pública com Convidado
0366/09,Comissão de Direitos Humanos e Minorias,2009,15/04/2009,Fórum
0347/09,Comissão de Direitos Humanos e Minorias,2009,15/04/2009,Fórum
0342/09,"Comissão de Trabalho, Administração e Serviço Público",2009,15/04/2009,Audiência Pública com Ministro
0343/09,Comissão de Turismo,2009,15/04/2009,Audiência Pública com Ministro
0346/09,"Comissão de Desenvolvimento Econômico, Indústria, Comércio e Serviços",2009,15/04/2009,Audiência Pública com Ministro
0345/09,"Comissão de Integração Nacional, Desenvolvimento Regional e Amazônia",2009,15/04/2009,Audiência Pública com Ministro
0340/09,Comissão de Desenvolvimento Urbano,2009,15/04/2009,Audiência Pública com Convidado
0375/09,"Comissão de Integração Nacional, Desenvolvimento Regional e Amazônia",2009,16/04/2009,Audiência Pública com Convidado
0374/09,Comissão de Defesa do Consumidor,2009,16/04/2009,Audiência Pública com Convidado
0371/09,"Comissão de Trabalho, Administração e Serviço Público",2009,16/04/2009,Audiência Pública com Convidado
0405/09,Comissão de Minas e Energia,2009,22/04/2009,Audiência Pública com Convidado
0402/09,Comissão de Direitos Humanos e Minorias,2009,22/04/2009,Audiência Pública com Ministro
0410/09,Comissão de Fiscalização Financeira e Controle,2009,23/04/2009,Audiência Pública com Convidado
0423/09,Comissão de Seguridade Social e Família,2009,28/04/2009,Audiência Pública com Convidado
0429/09,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",2009,28/04/2009,Audiência Pública com Convidado
0426/09,Comissão de Minas e Energia,2009,28/04/2009,Audiência Pública com Convidado
0427/09,Comissão de Meio Ambiente e Desenvolvimento Sustentável,2009,28/04/2009,Audiência Pública com Ministro
0421/09,Comissão de Cultura,2009,28/04/2009,Audiência Pública com Convidado
0430/09,Comissão de Viação e Transportes,2009,28/04/2009,Audiência Pública com Convidado
0463/09,Comissão de Defesa do Consumidor,2009,29/04/2009,Audiência Pública com Convidado
0468/09,Comissão de Constituição e Justiça e de Cidadania,2009,29/04/2009,Audiência Pública com Convidado
0469/09,Comissão de Direitos Humanos e Minorias,2009,29/04/2009,Audiência Pública com Convidado
0447/09,Comissão de Cultura,2009,29/04/2009,Audiência Pública com Ministro
0439/09,Comissão de Minas e Energia,2009,29/04/2009,Reunião Ordinária
0448/09,Comissão de Relações Exteriores e de Defesa Nacional,2009,29/04/2009,Reunião Ordinária
0474/09,Comissão de Legislação Participativa,2009,30/04/2009,Audiência Pública com Convidado
0654/09,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",2009,02/05/2009,Audiência Pública com Convidado
0493/09,Comissão de Fiscalização Financeira e Controle,2009,05/05/2009,Audiência Pública com Ministro
0491/09,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",2009,05/05/2009,Audiência Pública com Convidado
0492/09,"Comissão de Integração Nacional, Desenvolvimento Regional e Amazônia",2009,05/05/2009,Audiência Pública com Convidado
0511/09,Comissão de Defesa do Consumidor,2009,06/05/2009,Audiência Pública com Convidado
0523/09,Comissão de Fiscalização Financeira e Controle,2009,07/05/2009,Audiência Pública com Convidado
0544/09,Comissão de Cultura,2009,12/05/2009,Audiência Pública com Convidado
0538/09,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",2009,12/05/2009,Audiência Pública com Convidado
0534/09,Comissão de Seguridade Social e Família,2009,12/05/2009,Audiência Pública com Convidado
0545/09,Comissão de Finanças e Tributação,2009,12/05/2009,Audiência Pública com Convidado
0537/09,Comissão de Direitos Humanos e Minorias,2009,12/05/2009,Audiência Pública com Convidado
0576/09,Comissão de Direitos Humanos e Minorias,2009,13/05/2009,Audiência Pública com Convidado
0572/09,Comissão de Relações Exteriores e de Defesa Nacional,2009,13/05/2009,Reunião Ordinária
0552/09,Comissão de Meio Ambiente e Desenvolvimento Sustentável,2009,13/05/2009,Reunião Ordinária
