id_evento,tema_principal,tema_0,tema_1,tema_2
0142/09,0,0.9993,0.0006,0.0001
0178/09,2,0.0001,0.0111,0.9888
0188/09,2,0.0526,0.0002,0.9472
0270/09,2,0.0001,0.0001,0.9999
0322/09,0,0.9292,0.0027,0.0681
0366/09,2,0.0474,0.0122,0.9404
0347/09,2,0.0306,0.0001,0.9694
0402/09,2,0.0001,0.0774,0.9225
0429/09,0,0.9999,0.0001,0.0001
0468/09,2,0.0117,0.0812,0.9071
0469/09,2,0.1892,0.0009,0.8099
0654/09,0,0.8869,0.0547,0.0584
0491/09,0,0.6841,0.0899,0.226
0538/09,0,0.8838,0.0465,0.0697
0537/09,2,0.0001,0.1385,0.8614
0576/09,2,0.031,0.0148,0.9543
0586/09,0,0.6256,0.0144,0.36
0603/09,1,0.0069,0.9929,0.0002
0664/09,2,0.4786,0.0001,0.5214
0709/09,2,0.1677,0.0151,0.8172
0692/09,0,0.5604,0.0036,0.436
0781/09,2,0.0478,0.0044,0.9477
0772/09,0,0.652,0.3109,0.0371
0804/09,0,0.9998,0.0001,0.0001
0803/09,2,0.2908,0.2157,0.4935
0829/09,0,0.8484,0.0856,0.066
0880/09,2,0.0074,0.0001,0.9926
0893/09,2,0.0017,0.0,0.9983
0884/09,2,0.0033,0.0001,0.9966
0889/09,2,0.0743,0.3209,0.6048
0919/09,0,0.8803,0.0223,0.0974
0948/09,0,0.9998,0.0001,0.0001
0968/09,2,0.1406,0.0354,0.824
0971/09,2,0.0001,0.2932,0.7067
0989/09,0,0.9927,0.0037,0.0036
1033/09,2,0.0199,0.1195,0.8606
1074/09,2,0.2132,0.0686,0.7182
1082/09,2,0.1737,0.0074,0.8188
1143/09,0,0.9985,0.0,0.0014
1183/09,2,0.1064,0.0,0.8936
1166/09,0,0.6233,0.0053,0.3715
1190/09,2,0.2742,0.0109,0.7149
1206/09,0,0.9754,0.0245,0.0001
1238/09,2,0.0555,0.0001,0.9445
1213/09,2,0.0538,0.0001,0.9461
1248/09,2,0.1447,0.0001,0.8552
1245/09,2,0.169,0.0001,0.8309
1311/09,2,0.0273,0.0284,0.9443
1293/09,0,0.9999,0.0,0.0
1319/09,0,0.9892,0.0001,0.0107
1338/09,0,0.7019,0.0414,0.2566
1397/09,0,0.9358,0.0236,0.0406
1422/09,0,0.8191,0.0013,0.1796
1470/09,0,0.9564,0.017,0.0267
1516/09,2,0.0202,0.0001,0.9797
1544/09,0,0.9806,0.0193,0.0001
1580/09,2,0.0467,0.0838,0.8695
1623/09,0,0.9129,0.0022,0.0849
1658/09,2,0.0082,0.0001,0.9917
1639/09,0,0.5225,0.4774,0.0002
1667/09,2,0.0001,0.1471,0.8527
1691/09,1,0.0597,0.5504,0.3899
1731/09,2,0.011,0.0015,0.9874
1813/09,2,0.0002,0.0002,0.9997
1812/09,2,0.021,0.0001,0.979
1811/09,2,0.0042,0.0001,0.9958
1803/09,2,0.0001,0.4528,0.5471
1800/09,0,0.8233,0.0096,0.1671
1802/09,2,0.0001,0.0027,0.9972
1830/09,2,0.0478,0.0001,0.9521
1824/09,0,0.9998,0.0001,0.0001
1870/09,2,0.0153,0.0001,0.9846
1850/09,0,0.9998,0.0001,0.0001
1858/09,2,0.0948,0.0001,0.9051
1906/09,0,0.7649,0.0216,0.2135
1942/09,2,0.3661,0.0001,0.6338
1945/09,2,0.0803,0.0073,0.9123
2037/09,1,0.0001,0.937,0.0629
2089/09,0,0.9486,0.0001,0.0514
2122/09,2,0.0002,0.002,0.9978
2262/09,0,0.672,0.0001,0.3279
2338/09,2,0.0001,0.0001,0.9999
2362/09,0,0.9857,0.0142,0.0001
0002/10,2,0.0601,0.0001,0.9398
0009/10,2,0.0002,0.0002,0.9997
0015/10,2,0.0302,0.0125,0.9573
0101/10,1,0.0001,0.9652,0.0347
0136/10,1,0.0009,0.9983,0.0008
0118/10,1,0.0001,0.9503,0.0496
0145/10,1,0.0001,0.9998,0.0001
0143/10,0,0.9372,0.0472,0.0156
0182/10,0,0.9998,0.0001,0.0001
0167A/10,1,0.0407,0.7694,0.1899
0194/10,1,0.0001,0.9694,0.0306
0226/10,2,0.0082,0.0093,0.9824
0223/10,0,0.9997,0.0001,0.0001
0253/10,1,0.0002,0.986,0.0138
0262/10,1,0.0122,0.9875,0.0003
0311/10,2,0.4865,0.0038,0.5097
0296/10,1,0.006,0.7333,0.2606
0293/10,0,0.8998,0.1001,0.0001
0321/10,1,0.0391,0.9607,0.0002
0323/10,2,0.0047,0.0001,0.9952
0335/10,1,0.0687,0.9312,0.0001
0361/10,1,0.0459,0.9039,0.0502
0377/10,1,0.0008,0.9984,0.0008
0383/10,1,0.0054,0.9945,0.0001
0399/10,1,0.0712,0.8194,0.1094
0410/10,0,0.9757,0.0146,0.0098
0440/10,2,0.0302,0.0001,0.9697
0429/10,1,0.0001,0.961,0.0389
0446/10,1,0.0069,0.9928,0.0002
0461/10,1,0.1307,0.8333,0.036
0457/10,0,0.9996,0.0002,0.0002
0514/10,2,0.1786,0.0134,0.808
0493/10,1,0.0424,0.91,0.0476
0519/10,1,0.0002,0.9996,0.0002
0521/10,2,0.0539,0.0271,0.919
1070/10,0,0.7921,0.0739,0.134
0544/10,1,0.0828,0.9171,0.0001
0571/10,2,0.0001,0.1829,0.8171
0588/10,1,0.0719,0.8699,0.0582
0606/10,1,0.0002,0.9996,0.0002
0609/10,0,0.9999,0.0001,0.0001
0643/10,0,0.9997,0.0001,0.0001
0651/10,2,0.0335,0.0334,0.9331
0631/10,1,0.0001,0.8551,0.1448
0677/10,1,0.0136,0.9863,0.0001
